project_idx,byte_base_mtr_rel,byte_base_abs,master_count,master_A_count,master_B_count,master_slots
0,0x0000288000,0x00000100139400,4,3,1,0xA1C0;0xA200;0xAFC0;0xB000
1,0x00003D8000,0x00000100289400,2,2,0,0x9D00;0xACC0
2,0x0001FC8000,0x00000101E79400,6,6,0,0x9D00;0xA0C0;0xA100;0xA240;0xA900;0xA940
3,0x0008250000,0x00000108101400,2,0,2,0x9D00;0xAFC0
4,0x000B490000,0x0000010B341400,9,4,5,0x9D00;0x9DC0;0xB140;0xB1C0;0xB2C0;0xB4C0;0xB580;0xDB00;0xDB80
5,0x0013CC8000,0x00000113B79400,2,2,0,0x9D00;0xCF40
6,0x001E9F0000,0x0000011E8A1400,4,4,0,0x9D00;0xAE40;0xAFC0;0xBE00
7,0x001F818000,0x0000011F6C9400,1,0,1,0xA7C0
8,0x001FD10000,0x0000011FBC1400,2,0,2,0x9F40;0xA300
9,0x00233D0000,0x00000123281400,2,2,0,0x9D00;0xAF40
10,0x00250C8000,0x00000124F79400,4,0,4,0x9D00;0xAEC0;0xB7C0;0xBEC0
11,0x0025A10000,0x000001258C1400,2,0,2,0x9D00;0xC040
12,0x0029910000,0x000001297C1400,2,0,2,0x9D00;0xA840
13,0x002AC30000,0x0000012AAE1400,5,0,5,0xB340;0xB3C0;0xB4C0;0xD600;0xE300
14,0x002ADE0000,0x0000012AC91400,3,2,1,0xA000;0xA180;0xA580
15,0x002BFB0000,0x0000012BE61400,2,1,1,0xA000;0xA300
16,0x002C718000,0x0000012C5C9400,3,1,2,0x9E80;0x9EC0;0xA700
17,0x0030F30000,0x00000130DE1400,4,4,0,0x9D00;0xD240;0xD340;0x11D00
18,0x0032A30000,0x000001328E1400,5,3,2,0xA540;0xA940;0xAB80;0xAFC0;0xB4C0
19,0x0033D80000,0x00000133C31400,2,0,2,0xA680;0xAF40
20,0x0034AB8000,0x00000134969400,2,0,2,0x9D00;0xDBC0
21,0x0035D60000,0x00000135C11400,7,7,0,0x9D00;0xAA00;0xAAC0;0xB680;0xCA80;0xCC00;0xDFC0
22,0x0037FE0000,0x00000137E91400,5,2,3,0xAF40;0xB980;0xC640;0xCCC0;0xCD40
23,0x0041BB0000,0x00000141A61400,5,5,0,0xA0C0;0xA4C0;0xA500;0xA900;0xAA80
24,0x0043650000,0x00000143501400,5,4,1,0xA300;0xAA40;0xB000;0xB580;0xC680
25,0x0046F68000,0x00000146E19400,5,5,0,0xA240;0xA840;0xA880;0xB280;0xB500
26,0x004D988000,0x0000014D839400,2,0,2,0xA140;0xA640
27,0x004E840000,0x0000014E6F1400,4,0,4,0xA580;0xA5C0;0xCE40;0xCEC0
28,0x004E990000,0x0000014E841400,2,1,1,0xA040;0xA380
29,0x004F278000,0x0000014F129400,10,4,6,0x9F40;0x9F80;0xA400;0xA440;0xA740;0xA780;0xAA40;0xAE00;0xB080;0xB100
